placename	Latitude	Longitude
Rabat	34.01325	-6.83255
Bahrain	26.03333	50.55
Sudan	16	30
Western Sahara	10.01211	105.83224
Algeria	28	3
Marrakesh	31.63416	-7.99994
Maghreb	30	5
Bethlehem	40.62593	-75.37046
Nairoukh	29.526702	35.007822
Shawawra	31.69191	35.26631
Marshall Islands	7.113	171.236
Aden	12.77944	45.03667
Bab Almandeb Strait	30.73222	56.7175
Hodeidah	14.79781	42.95452
Al Maniya	41	20
Westbank	49.83521	-119.62532
Melbourne Australia	-37.67333	144.84333
Melbourne	-37.814	144.96332
Sandridge Beach	-37.83931	144.91747
Zim Ganges	45.06873	-83.54131
Sydney	-33.86785	151.20732
Brisbane	-27.46794	153.02809
Yemen Coast	12.79891	45.03313
Alborz	36.01117	50.80956
Damascus	33.5102	36.29128
Tehran	35.69439	51.42151
Beit Lahiya	31.5464	34.49514
Shujayea	31.50056	34.47
Alsaftawi	31.539895	34.473281
Babelmandeb Strait	6.8127	122.0236
Sanaa	15.35472	44.20667
Taiz	13.57952	44.02091
Dhamar	14.54274	44.40514
Albayda	18.86139	42.07078
Saada	16.94021	43.76393
Dublin	53.33306	-6.24889
Moscow	55.75222	37.61556
Bureij	31.43944	34.40306
Almahatta	31.514075	34.476052
Belgium	50.75	4.5
Pretoria	-25.74486	28.18783
Hong Kong	22.27832	114.17469
Denmark	56	10
New Zealand	-42	174
South Korea	36.5	127.75
France	46	2
Alwalaja	31.7377	35.141
Area C	-25.55132	-54.61622
Gilo	-7.45	-40.83333
Har Gilo	31.72119	35.1724
El Arish	31.13159	33.79844
Norway	62	10
Strip	-27.51667	27.05
Mexico	23	-102
Chile	-30	-71
Altanf	33.50583	38.61778
Amman	31.95522	35.94503
Hashemite Kingdom Of Jordan	31	36
Baghdad	33.34058	44.40088
New York	40.71427	-74.00597
Indonesia	-5	120
Thailand	15.5	101
Kuala Lumpur	3.1412	101.68653
Jakarta	-6.21462	106.84513
Johannesburg	-26.20227	28.04363
London	51.50853	-0.12574
Mozambique	-18.25	35
Bulgaria	42.66667	25.25
Philippines	13.40882	122.56155
Golan Heights	32.90485	35.80725
Kanaker	40.22302	44.53986
Yaroun	33.08028	35.4225
Sarit	35.47569	71.45229
Aleppo	36.20124	37.16117
Kyiv	50.45466	30.5238
Alaqsa	31.776028	35.235716
Alkarama	25.24182	55.30106
Ras Issa	34.11528	35.72278
Hodeidah Province	20.75	-75.91667
Ebel Elsaqi	33.35667	35.62639
Riyadh	24.68773	46.72185
Bab Al	35.26943	69.68085
Mandeb Strait	4	100
Maghazi	31.42234	34.38501
Near East	17.97421	-76.80663
Davos	46.80429	9.83723
Al Jazeera	14.6	33.35
Almawasi	31.32919	34.23108
Istanbul	41.01384	28.94966
Crete	35.15585	24.89502
Ankara	39.91987	32.85427
Sweden	62	15
Paris	48.85341	2.3488
Eastern Mediterranean	39.42657	41.23464
Bosnia	44	18
Herzegovina	43	17.83333
Serbia	44.81892	20.45998
Montenegro	42.75	19.25
Yugoslavia	44	19.75
Salem	44.9429	-123.0351
Copenhagen	55.67594	12.56553
Washington Dc	47.50012	-120.50147
Khan Yunis	31.34018	34.30627
Mawasi	32.48133	68.85529
Shadi	34.84836	60.42347
Paltel	32.08712	35.18388
Walla	-2.85662	33.32102
Berlin	52.52437	13.41053
Gretna	41.14083	-96.23974
Louisiana	31.00047	-92.0004
New Orleans	29.95465	-90.07507
Caesarea	38.73222	35.48528
Kefar Sava	32.175	34.90694
Rehovot	31.89421	34.81199
Beersheba	31.25181	34.7913
Republic Of Korea	24	121
Libya	28	17
Kosovo	42.58333	20.91667
Brussels	50.85045	4.34878
League Of Arab States	29.75634	-94.97187
Gaza Deir Elbalah	35.65832	65.18016
Almughraqa	31.4675	34.4097
Almaghazi	31.4213583	34.385375
Maghazi Roads	43.84258	-68.88115
Deir Albalah	31.41834	34.34933
South Carolina	34.00043	-81.00009
New York City	40.71427	-74.00597
Arura	9.8694	76.30498
Beruit	33.8886	35.4955
Almazraa	33.8797	35.5022
Mediterranean Sea	35.78	19.33
Ajaq	35.64005	48.84628
Silwad	31.97625	35.2613
La France	45.20507	5.74629
Ocean Jazz	-10	70
Cape Town	-33.92584	18.42322
South Africansfrom	38.02807	-97.94033
Western Cape Province	40.64575	-79.91382
Cyprus	35.00304	32.98791
Akrotiri	36.35796	25.3976
Limassol	34.68406	33.03794
Pashias	58.4324	58.2555
Anadolu	39	35
Nevatim	31.22417	34.88098
Republic Of Cyprus	24	121
Dhekelia	35.01667	33.775
Jenin	32.45943	35.30086
Abwein	32.03144	35.19992
Nablus	32.22111	35.25444
Hebron	31.52935	35.0938
Qalqilya	32.18583	35.06583
Jericho	31.86667	35.45
Pa	12.66667	-3.95
Oslo	59.91273	10.74609
Aqaba	29.52667	35.00778
Kan	12.00012	8.51672
Wadi Gaza	15	21.5
Sri Lanka	7.75	80.75
Almazraa Asharqiya	32.00018	35.28152
Harvey	41.61003	-87.64671
Tawfiq	33.01842	44.38071
Khirbet Selm	33.22931	35.42407
Bint Jbeil	33.11944	35.43333
Ibil El Saqi	33.35667	35.62639
Altawil	34.8064	37.4339
Alkhader	31.69405	35.16685
Bekaa Valley	33.83333	36
Litani River	3.3	-54.1
Iceland	65	-18
Czech Republic	49.75	15
Hungary	47	20
Slovenia	46.08333	15
Ireland	53	-8
Flanders	51	4.5
Wallonia	50.5	4.75
Tel Israel	32.25327	34.87034
Aizawl	23.72894	92.71791
Manipur	25	94
Kangpokpi	25.15114	93.9695
Mizoram	23	93
Kingdom Of Judah	20.75028	-156.50028
Bnei Menashe	32.08074	34.8338
Kolasib	24.22388	92.67869
Silicon Valley	37.37	-122.04
Beit Shemesh	31.73072	34.99293
Santa Clara	22.40694	-79.96472
California	37.25022	-119.75126
Moldova	47.25	28.58333
Netivot	31.42305	34.58911
Alaska	64.00028	-150.00028
South America	-14.60485	-57.65625
Crimea	45	34
South China Sea	51.53782	0.71433
Vietnam	16.16667	107.83333
Kashmir	30.33315	63.19089
Islamabad	33.72148	73.04329
Darby Nakba	46.0227	-114.17814
Panjgur	26.75	64
Pakistan Balochistan Province	41.22825	33.15674
Sistanbaluchestan Province	28.5	60.5
Islamic Republic Of Iran	32	53
Kerman	30.28321	57.07879
Islamic Republic	32	53
Nur Shams	51.1801	71.44598
Tulkarem	32.31156	35.0269
Naqoura	33.11806	35.13972
America	26.0173	-104.41406
Ein Alhilweh	32.62899	34.94483
Basel	47.55839	7.57327
Ofer	32.62257	34.98302
Jordan Valley	42.97404	-117.0543
Kadri	3.34322	30.99265
Aljiftlik	32.078	35.439
Farsiya	35.95584	42.96643
Makhoul	33.40788	37.3558
Tubas	32.32091	35.36989
Areas A	-16.39889	-71.535
Uganda	1.25	32.5
Kuwait	29.5	47.75
Chicago	41.85003	-87.65005
Dena	28.44289	90.28327
Oakland	37.80437	-122.2708
Syria Aleppo	33.26954	35.19626
Mariupol	47.09514	37.54131
Zeitoun	34.06222	35.68528
Alamal	31.39064	37.3146
Almawasi District	14.3656	44.7778
Erbil	36.19117	44.00943
Iran Sistanbaluchestan Province	32	53
Rask	29.49114	57.18543
Sistanbaluchestan	28.283	61.117
Strait Of Hormuz	26.56667	56.25
Persian Gulf	27	51
Balochistan	28.47849	65.64355
Middle East Eye	33.13906	35.85869
Eilat	29.55805	34.94821
Ashdod	31.79213	34.64966
Dead Sea	44.86777	-73.62391
Eastern Mediterranean Region	39.42657	41.23464
Aroura	38.92219	-111.93409
Rohtak	28.89447	76.58917
Haryana	29.25	76.33333
Uttar Pradesh	27.25	80.75
Lucknow	26.83928	80.92313
Up	43.62841	6.22477
Bihar	25.75	85.75
West Bengal	19.38333	-71.21667
Haryana Panipat	29.25	76.33333
Middle Eastern	33.13906	35.85869
Haryana Jind	29.25	76.33333
Portugal	39.6945	-8.13057
Maroun El Ras	33.10381	35.4444
Rmeish	33.216	35.544
Miraj	16.8671	74.70146
Tal Alhawa	-36.72494	-73.11684
Gisha	-1.744	29.9586
Bani Naim	15.88333	43.78333
Raanana	32.1836	34.87386
Sderot	31.525	34.59693
Nir Am	31.51959	34.58006
Mefalsim	31.50125	34.5637
Hanita	33.08746	35.17364
Mattat	33.04134	35.35858
Margaliot	33.216	35.544
Adamit	33.07971	35.21103
Zarit	33.09955	35.2889
Malkia	60.75482	24.06197
Dubai	25.07725	55.30927
Bab Almandeb	12.60416	43.33557
Yemen Southern Coast	12.79891	45.03313
Kampala	0.31628	32.58219
Bahaa Eldin Abu Ras	33.53699	36.31307
Dura	28.8	49.23333
Manchester City	42.99564	-71.45479
Barcelona	41.38879	2.15899
Syria Damascus	33.26954	35.19626
Mazzeh	33.5018	36.2516
Borj El Barajneh	33.84347	35.49874
Dahiya	8.0264	80.533
Jamaa Islamiya	35.46804	-5.70106
Southern Africa	-27.11781	22.28027
El Amal City Hospital	32.893	0.54839
Jordan River	31	36
Alshifa	31.8398	35.4537
Israel Haifa	41.68181	-70.27889
Hamoud	15.64004	-11.51864
Shatila	42.65879	45.15632
Rashidiya	25.22499	55.38947
Venezuela	8	-66
Hormuz	27.5026	54.2839
Arabian Gulf	26.35058	50.16805
Gulf Of Oman	8.5	79
Khreis	25.05944	48.06389
Northern Gaza	54.77535	-105.64453
Lisbon	38.71667	-9.13333
Des Moines	41.60054	-93.60911
Iowa	42.00027	-93.50049
Tunisia	34	9
Cedar Rapids	42.00833	-91.64407
Iowa City	41.66113	-91.53017
South Asia	21.28937	78.66211
Florida	28.75054	-82.5001
New York Ellis Island	40.71427	-74.00597
Ohio	40.25034	-83.00018
Beit Hanoon	31.5353	34.53579
Syria Golan Heights	35	38
Kurdistan	37	44
Panjgur Pakistan Balochistan Province	48.11313	16.86215
Belarus	53	28
Bosniaherzegovina	43.8486	18.3564
Srebrenica	44.10748	19.29669
Eurasia	87	80
Heliopolis	36.50361	7.44278
Levant	34	36
Gaza City Zeitoun	41.72621	-72.44008
Old City Of Gaza	38.53998	-109.49567
Mecca	21.42664	39.82563
Gaza Daraj	31.50161	34.46672
Almasjid Alomari Alkabir	35.13444	36.74545
Byzantium	41.01384	28.94966
Via Maris	47.87844	27.16671
Anthedon	38.49842	23.44886
Tida	31.24415	30.83845
Tell Elajjul	36.53984	40.61373
Calves Hill	42.27426	-71.32284
Daraj	33.24567	59.54541
X	19.22364	-70.53051
Spain	40	-4
Madrid	40.4165	-3.70256
Oman	21	57
Vienna	48.20849	16.37208
Manchester	42.99564	-71.45479
Hyderabad	17.38405	78.45636
Colombo Kollupitiya	-76.51667	-144.73333
Bab Elmandeb Strait	12.60416	43.33557
Southern Red Sea	21.28937	78.66211
Africa Cape Of Good Hope	18.31281	-4.83398
Scotland	56	-4
Egypt Sinai Peninsula	31.19518	29.90976
Charleston	32.77632	-79.93275
Cameroon	6	12.5
West Jerusalem	31.78199	35.21961
Seychelles	-4.58333	55.66667
Marib	15.6213	46.0111
Sabra	34.83042	-1.547
Somalia	6	48
Yemen Red Sea	12.79891	45.03313
Hajjah	15.69425	43.60582
Taiz Province	13.5	44
Peru	-10	-75.25
Colombia	4	-73.25
South Sudan	7.5	30
Swaziland	-26.5	31.5
Lama Khater	9.55111	1.18611
Kiryat Arba	33.20733	35.57212
Malta	35.91667	14.43333
Earth	0	0
Entebbe Uganda	0.04239	32.4435
Sierra Leone	8.5	-11.5
Drc	-17.98192	20.76806
Republic Of Yemen	24	121
West Beirut	51.48653	-0.40583
Beirut Hamra	33.89332	35.50157
Hamra	31.81088	-8.27151
West Beirutis	19.38333	-71.21667
East Beirut	37.02332	-77.36954
Bani Suheila	31.34337	34.32337
Kiryat Shmona	33.20733	35.57212
Blue Line	40.88291	-123.98395
Santiago	-33.45694	-70.64827
Hezbollah	29.8628	56.8848
Deir Qaddis	35.33588	40.14084
Al Rayyan	25.29194	51.42444
Bern	46.94809	7.44744
Zurich	47.36667	8.55
Gazas	-23.5	33
Entebbe	0.05621	32.47949
Rwanda	-2	30
East Timor	-8.83333	125.75
Kabul	34.52813	69.17233
Azzahra	19.11437	41.91694
Hamad	31.40307	48.45684
State Of Qatar	25.5	51.25
Lebanon Nabatieh	37.83451	-85.7319
Yiron	33.07757	35.4546
Avivim	33.08892	35.47228
Israel Goren	41.68181	-70.27889
