asciiname	latitude	longitude	geonameid	name	alternatenames
Az Zuwaydah	31.43954	34.38053	6967990	Az Zuwāydah	Alzwaydt,Ar Ruwaydah,Az Zuwaydah,Az Zuwāydah,alzwaydt,الزوايدة
Maghazi	31.42234	34.38501	281086	Maghazi	Al Maghaze,Maghazi,Mukhayyam Shaykh al Maghazi,Mukhayyam Shaykh al Maghāzī,Mukhayyam al Maghazi,Mukhayyam al Maghāzī,mkhym almghazy,مخيم المغازي
Shukat as Sufi	31.25997	34.2826	281093	Shūkat aş Şūfī	Shawkat as Sufi,Shawkat aş Şūfī,Shoket es Sufi,Shukat as Sufi,Shūkat aş Şūfī,shwkt alswfy,شوكة الصوفي
Khuza'ah	31.30675	34.3611	281119	Khuzā‘ah	Kh Ikhza`a,Kh Ikhza‘a,Khirbat Ikhza`a,Khirbat Ikhza`ah,Khirbat Ikhzā‘a,Khirbat Ikhzā‘ah,Khuza`ah,Khuzā‘ah,خزاعة
Al Mughraqah	31.46587	34.41208	6968063	Al Mughrāqah	Abu Mudayin,Abū Mudayin,Al Mughraqah,Al Mughrāqah,abw mdyn,almghraqh,ابو مدين,المغراقه
Deir El-Balah	31.42393	34.33903	281140	Deir El-Balah	Deir el-Balah,Deir el-Balah flyktningleir,Deir el-Balah refugee camp,Mukhayyam Dayr al Balah,Mukhayyam Dayr al Balaḩ,mkhym dyr alblh,مخيم دير البلح
An Nasr	31.28137	34.30253	6967857	An Naşr	Al Bayk,Al Bayuk,Al Bayūk,An Nasr,An Naşr,albywk,alnsr,البيوك,النصر
Abasan al Jadidah	31.34158	34.34592	6967863	‘Abasān al Jadīdah	`Abasan al Jadida,`Abasan al Jadidah,`Abasan as Saghirah,عبسان الجديدة,عبسان الصغيرة,‘Abasan al Jadida,‘Abasān al Jadīdah,‘Abasān aş Şaghīrah
Al Fukhkhari	31.29278	34.33061	281160	Al Fukhkhārī	Al Fakhkhari,Al Fakhkhārī,Al Fukhkhari,Al Fukhkhārī,El Fukhkhari,alfkhary,الفخاري
Wadi as Salqa	31.40048	34.33754	6968055	Wādī as Salqā	Wadi as Salga,Wadi as Salqa,Wādī as Salgā,Wādī as Salqā,wady alslqa,وادي السلقا
Juhr ad Dik	31.45571	34.43719	6967895	Juḩr ad Dīk	Juhor ad Dik,Juhr ad Dik,Juḩr ad Dīk,jhr aldyk,جحر الديك
Umm an Nasr	31.56085	34.51863	6967877	Umm an Naşr	Al Qaryah al Badawiyah al Maslakh,Umm an Nasr,Umm an Naşr,alqryt albdwyt almslkh,am alnsr,أم النصر,القرية البدوية المسلخ
Al Musaddar	31.41052	34.37802	6968050	Al Muşaddar	Al Musaddar,Al Muşaddar,almsdr,المصدر
Al Mawasi	31.34861	34.26556	281154	Al Mawāsī	Al Mawasi,Al Mawāsī,El-Mawasi,almwasy,المواصي
Al-Shifa Hospital	31.52414	34.4442	7870487	Al-Shifa Hospital	Al'-Shifa,Al-Shifa Hospital,Al-Shifa Ospitalea,Al-Shifa ziekenhuis,As-Sifa,Aš-Šifá,Benh vien Al-Shifa,Bolnisnica Al Sifa,Bolnišnica Al Šifa,Bệnh viện Al-Shifa,Gazze Sifa Hastanesi,Gazze Şifa Hastanesi,Hospital Al-Shifa,Mustashfa al-Shifa,Ospedale Al-Shifa,Rumah Sakit Al-Shifa,Shifa-sykehuset,Valetudinarium al-Shifa,Ysbyty Al-Shifa,al-Schifa-Krankenhaus,al-cipa maruttuvamanai,ala-sipha hasapatala,alsipa byeong-won,bymarstan alshfa,hopital Al-Shifa,hospitalo Al-Sifa,hospitalo Al-Ŝifa,hôpital Al-Shifa,rong phyabal xach chifax,xi fa yi yuan,Аль-Шифа,בית החולים שיפא,بیمارستان الشفا,مجمع الشفاء الطبي,আল-শিফা হাসপাতাল,அல்-சிபா மருத்துவமனை,โรงพยาบาลอัชชิฟาอ์,アル・シファ病院,希法医院,알시파 병원
Umm Jarrah	31.25417	34.27333	281070	Umm Jarrah	Umm Jarrah,Umm Jerra
Musabbih	31.29306	34.27861	281116	Muşabbiḩ	Musabbih,Musebbeh,Muşabbiḩ
Ard Rafah	31.29861	34.26083	281149	Arḑ Rafaḩ	
Al Qubbah	31.24194	34.28333	281153	Al Qubbah	Al Qubbah,El Qubbe
Al Junaynah	31.27972	34.26361	281156	Al Junaynah	Al Junaynah,El Juneine
Al Ghabah	31.26417	34.25778	281158	Al Ghābah	Al Ghabah,Al Ghābah,El-Ghabe
Al Filahah	31.32333	34.30667	281159	Al Filāḩah	Al Filahah,Al Filāḩah,Al-Filaha,El Filaha
Abu Himar	31.33222	34.285	281163	Abū Ḩimār	Abu Himar,Abu Himer,Abū Ḩimār
Abu 'Awdah	31.22722	34.27167	281164	Abū ‘Awdah	Abu `Auda,Abu `Awdah,Abu `Ode,Abu ‘Auda,Abu ‘Ode,Abū ‘Awdah
Arab al Qila'i	31.275	34.32667	410879	‘Arab al Qilā‘ī	
Abu Mu'ammar	31.25917	34.31806	410880	Abu Mu‘ammar	
Umm al Kilab	31.2959	34.29151	281072	Umm al Kilāb	Umm al Kilab,Umm al Kilāb,Umm el-Kilab,aum alkilab,أُم الكِلاب
Saknat az Zarqa'	31.51667	34.46667	281095	Saknat az Zarqā’	Saknat az Zarqa',Saknat az Zarqā’
Rafiah Yam	31.28333	34.23333	281098	Rafiaẖ Yam	Rafiah Yam,Rafiaẖ Yam
Qizan an Najjar	31.32377	34.28663	281103	Qīzān an Najjār	Qazan an Najjar,Qazān an Najjār,Qizan an Najjar,Qīzān an Najjār,qyzan alnjar,قيزان النجار
Qa' al Qurayn	31.30311	34.32196	281106	Qā‘ al Qurayn	Qa` al Qurayn,Qa` al Qurein,Qa` el-Qurein,Qa‘ al Qurein,Qa‘ el-Qurein,Qā‘ al Qurayn,قاع القرين
Nahal Qatif	31.42507	34.3734	281114	Naḥal Qatif	Katif,Nahal Qatif,Nahal-Katif,Naḥal Qatif
Umm Kamil	31.29699	34.3039	281117	Umm Kamīl	Mukhaymil,Mukheimil,Umm Kamil,Umm Kamīl,aum kmyl,أُم كميل
An Nazlah	31.53333	34.48333	281152	An Nazlah	An Nazlah,El Nesleh,En Nazle,En Nezle,Nazla,Nazlah,Nuzle
Al Mashahirah	31.51667	34.46667	281155	Al Mashāhirah	Al Mashahira,Al Mashahirah,Al Mashāhirah
Qa' al Kharabah	31.30899	34.30565	410881	Qā‘ al Kharābah	Qa` al Kharabah,Qa` el-Kharaba,Qa‘ al Kharābah,Qa‘ el-Kharaba,Qā‘ al Kharābah,قاع الخَرابَة
Daribat ash Shaykh Hammuda	31.36639	34.355	410887	Daribat ash Shaykh Hammuda	
Izbat Bayt Hanun	31.53597	34.52134	6967879	‘Izbat Bayt Ḩanūn	`Izbat Bayt Hanun,`Izbat Beit Hanun,عزبة بيت حنون,‘Izbat Bayt Ḩanūn,‘Izbat Beit Hanun
Arab Maslakh Bayt Lahya	31.5341	34.51426	6967881	‘Arab Maslakh Bayt Lāhyā	`Arab Maslakh Bayt La'iya,`Arab Maslakh Bayt Lahya,`Arab Maslakh Beit Lahya,عرب مسلخ بيت لائيا,عرب مسلخ بيت لاهيا,‘Arab Maslakh Bayt Lāhyā,‘Arab Maslakh Bayt Lā’iyā,‘Arab Maslakh Beit Lahya
Madinat al 'Awdah	31.54709	34.46372	6967883	Madīnat al ‘Awdah	Madinat al `Awda,Madinat al `Awdah,Madīnat al ‘Awda,Madīnat al ‘Awdah,مدينة العودة
As Surayij	31.36052	34.36077	6968057	As Surayij	As Surayij,alsryj,السريج
Az-Zawayda	31.42844	34.36595	7870299	Az-Zawayda	Al Zawaida
Khuza'a	31.30694	34.35723	7870489	Khuza'a	Khuza'aa
al Fukhari	31.29523	34.33315	7870522	al Fukhari	Al Fukhare
Shokat as-Sufi	31.25864	34.28244	7870523	Shokat as-Sufi	Al Shuka,Shoka
Al-Mughraqa	31.4675	34.40972	7870524	Al-Mughraqa	
Bani Suhela	31.3421	34.32526	7870559	Bani Suhela	Bani Suhaila
Abasan al-Saghira	31.34051	34.3446	7870670	Abasan al-Saghira	Abasan al-Saghir,Abasan Jadeda,Abasan al-Jadida,Abasan al-Sa'ir
Al-Zahra'	31.47158	34.40128	7870996	Al-Zahra'	Al Zahra,Ezahra,Madinat Az-Zahra',Madinat Azzahra
Khirbat al-Adas	31.28552	34.27138	7871045	Khirbat al-Adas	
Al Qaryah as Suwaydiyah	31.32363	34.22078	7909657	Al Qaryah as Suwaydīyah	Al Qaryah as Suwaydiyah,Al Qaryah as Suwaydīyah,alqryt alswydyt,القرية السويدية
Al Katibah	31.35675	34.31089	8051616	Al Katībah	Al Katibah,Al Katībah,alktybt,الكتيبة
Al Amal	31.35513	34.29873	8051617	Al Amal	Al Amal,alaml,الأمل
Atatra	31.55941	34.4875	11670414	Atatra	
Remal	31.53078	34.45502	7302441	Remal	Rimal,hy alrmal,حي الرمال
At Turkman	31.49313	34.47271	8041215	At Turkmān	At Turkman,At Turkmān,altzkman,التزكمان
Az Zaytun	31.49642	34.45215	8041217	Az Zaytūn	Az Zaytun,Az Zaytūn,alzytwn,الزيتون
As Sabra	31.50585	34.45309	8041218	Aş Şabrā	As Sabra,Aş Şabrā,alsbra,الصبرا
Al Fawayidah	31.50642	34.4425	8041219	Al Fawāyidah	Al Fawaydah,Al Fawayidah,Al Fawāydah,Al Fawāyidah,alfwaydt,الفوايدة
Ash Shaykh 'Ijlin	31.50981	34.42739	8041220	Ash Shaykh ‘Ijlīn	Ash Shaykh `Ijlin,Ash Shaykh ‘Ijlīn,الشيخ عجلين
Midan Filastin	31.50682	34.45808	8041222	Mīdān Filasţīn	Midan Filastin,Mīdān Filasţīn,mydan flstyn,ميدان فلسطين
Ar Rimal al Janubi	31.51603	34.43921	8041255	Ar Rimāl al Janūbī	Ar Rimal al Janubi,Ar Rimāl al Janūbī,alrmal aljnwby,الرمال الجنوبي
Ar Rimal ash Shamali	31.52294	34.45325	8041656	Ar Rimāl ash Shamālī	Ar Rimal ash Shamali,Ar Rimāl ash Shamālī,alrmal alshmaly,الرمال الشمالي
An Nasr ash Sharqi	31.52841	34.45975	8041662	An Naşr ash Sharqī	An Nasr ash Sharqi,An Naşr ash Sharqī,alnsr alshrqy,النصر الشرقي
An Nasr al Gharbi	31.53384	34.45335	8041663	An Naşr al Gharbī	An Nasr al Gharbi,An Naşr al Gharbī,alnsr alghrby,النصر الغربي
Ash Shaykh Radwan	31.53494	34.46671	8041664	Ash Shaykh Raḑwān	Ash Shaykh Radwan,Ash Shaykh Raḑwān,alshykh rdwan,الشيخ رضوان
Ad Daraj	31.52148	34.46263	8041665	Ad Daraj	Ad Daraj,aldrj,الدرج
At Tuffah	31.51338	34.47514	8042019	At Tuffāḩ	At Tuffah,At Tuffāḩ,altfah,التفاح
Al Jadidah	31.50355	34.47985	8042056	Al Jadīdah	Al Jadidah,Al Jadīdah,aljdydt,الجديدة
Maydan ash Shuja'iyah	31.49889	34.46771	8042073	Maydān ash Shujā‘īyah	Maydan ash Shuja`iyah,Maydān ash Shujā‘īyah,Midan ash Shuja`iyah,Mīdān ash Shujā‘īyah,ميدان الشجاعية
Al Madinah al Qadimah	31.50429	34.46547	8042074	Al Madīnah al Qadīmah	Al Madinah al Qadimah,Al Madīnah al Qadīmah,almdynt alqdymt,المدينة القديمة
Al Mu'tarid	31.40184	34.35941	8051589	Al Mu‘tariḑ	Al Mu`tarid,Al Mu‘tariḑ,المعترض
Al Mintaqah as Sina'iyah	31.41041	34.36693	8051590	Al Minţaqah aş Şinā‘īyah	Al Mintaqah as Sina`iyah,Al Minţaqah aş Şinā‘īyah,المنطقة الصناعية
Ar Rasm	31.41192	34.35485	8051591	Ar Rasm	Ar Rasm,alrsm,الرسم
Al Mattayin	31.41519	34.35659	8051592	Al Maţţāyin	Al Mattayin,Al Maţţāyin,almtayn,المطاين
Al Harah ash Sharqiyah	31.41916	34.35662	8051593	Al Ḩārah ash Sharqīyah	Al Harah ash Sharqiyah,Al Ḩārah ash Sharqīyah,alhart alshrqyt,الحارة الشرقية
Abu Asad	31.42317	34.35993	8051594	Abū Asad	Abu Asad,Abū Asad,abw asd,أبو أسد
Abu Sittah	31.42751	34.35855	8051595	Abū Sittah	Abu Sittah,Abū Sittah,abw stt,أبو ستة
Hamadah	31.42389	34.35176	8051596	Ḩamādah	Hamadah,hmadt,حمادة,Ḩamādah
Tunis	31.4246	34.34744	8051597	Tūnis	Tunis,Tūnis,twns,تونس
Al Masihi	31.42458	34.3434	8051598	Al Masīḩī	Al Masihi,Al Masīḩī,almsyhy,المسيحي
Al 'Amrah	31.42038	34.34909	8051599	Al ‘Amrah	Al `Amrah,Al ‘Amrah,العمرة
Al Brawk	31.42041	34.33902	8051600	Al Brawk	Al Brawk,albrwk,البروك
Abu Fayyad	31.41749	34.33349	8051602	Abū Fayyāḑ	Abu Fayyad,Abū Fayyāḑ,abw fyad,أبو فياض
Umran	31.41448	34.33974	8051603	‘Umrān	`Umran,عمران,‘Umrān
Al Qata'ah	31.41157	34.33543	8051604	Al Qaţa‘ah	Al Qata`ah,Al Qaţa‘ah,القطعة
Al Hakar	31.40926	34.34393	8051605	Al Ḩakar	Al Hakar,Al Ḩakar,alhkr,الحكر
Al Hadabah	31.41475	34.34844	8051606	Al Ḩadabah	Al Hadabah,Al Ḩadabah,alhdbt,الحدبة
Al Farsh	31.40837	34.33784	8051607	Al Farsh	Al Farsh,alfrsh,الفرش
Umm al 'Azban	31.40451	34.33887	8051608	Umm al ‘Azbān	Umm al `Azban,Umm al ‘Azbān,أم العزبان
Abu 'Arif	31.4084	34.35001	8051609	Abū ‘Arīf	Abu `Arif,Abū ‘Arīf,أبو عريف
Bisharah	31.41618	34.34433	8051610	Bishārah	Bisharah,Bishārah,bshart,بشارة
Qa'ud	31.41822	34.34701	8051611	Qā‘ūd	Qa`ud,Qā‘ūd,قاعود
Al Baldah al Qadimah	31.41869	34.3521	8051612	Al Baldah al Qadīmah	Al Baldah al Qadimah,Al Baldah al Qadīmah,albldt alqdymt,البلدة القديمة
Al Mu'askar	31.34889	34.29758	8051618	Al Mu‘askar	Al Mu`askar,Al Mu‘askar,المعسكر
Ash Shaykh Nasir	31.34182	34.31381	8051624	Ash Shaykh Nāşir	Ash Shaykh Nasir,Ash Shaykh Nāşir,alshykh nasr,الشيخ ناصر
Markaz al Madinah	31.344	34.30485	8051625	Markaz al Madīnah	Markaz al Madinah,Markaz al Madīnah,mrkz almdynt,مركز المدينة
Batn as Samin	31.34087	34.2983	8051626	Baţn as Samīn	Batn as Samin,Baţn as Samīn,btn alsmyn,بطن السمين
Jurat al Lut	31.33508	34.30617	8051627	Jūrat al Lūt	Jurat al Lut,Jūrat al Lūt,jwrt allwt,جورة اللوت
Ma'n	31.33417	34.31609	8051628	Ma‘n	Ma`n,Ma‘n,معن
Qa' al Qarin	31.328	34.31996	8051629	Qā‘ al Qarīn	Qa` al Qarin,Qā‘ al Qarīn,قاع القرين
Al Manarah	31.32903	34.31283	8051630	Al Manārah	Al Manarah,Al Manārah,almnart,المنارة
Qizan	31.33516	34.29229	8051631	Qīzān	Qizan,Qīzān,qyzan,قيزان
Abu Rashwan	31.3281	34.2841	8051632	Abū Rashwān	Abu Rashwan,Abū Rashwān,abw rshwan,أبو رشوان
Hijazi	31.2933	34.24482	8051669	Ḩijāzī	Hijazi,hjazy,حجازي,Ḩijāzī
Tall az Zu'rub	31.28975	34.24557	8051670	Tall az Zu‘rub	Tall az Zu`rub,Tall az Zu‘rub,تل الزعرب
Hawd Ji	31.28805	34.24645	8051671	Ḩawḑ Jī	Block J,Hawd Ji,hwd jy,حوض جي,Ḩawḑ Jī
Hawd Waw	31.28139	34.24972	8051672	Ḩawḑ Wāw	Block O,Hawd Waw,hwd waw,حوض واو,Ḩawḑ Wāw
Yibna	31.2842	34.24819	8051673	Yibnā	Yibna,Yibnā,ybna,يبنا
Qishtah	31.27525	34.25036	8051674	Qishţah	Qishtah,Qishţah,qshtt,قشطة
Al Barazil	31.2721	34.25315	8051675	Al Barāzīl	Al Barazil,Al Barāzīl,albrazyl,البرازيل
As Salam	31.26779	34.25668	8051676	As Salām	As Salam,As Salām,alslam,السلام
Al-Azhar University	31.51528	34.43639	7870540	Al-Azhar University - Gaza	
Al-Aqsa University	31.50444	34.43583	7870544	Al-Aqsa University	
Bi'r Zawalan	31.51667	34.43333	281069	Bi’r Zawalān	Bi'r Zawalan,Bi’r Zawalān
Bi'r Abu Thabit	31.28472	34.30917	281162	Bi’r Abū Thābit	Bi'r Abu Thabit,Bir Abu Thabet,Bi’r Abū Thābit
Gaza	31.41667	34.33333	281132	Gaza Strip	Banda de Gaza,Bande de Gaza,Bandenn Gaza,Ciifol Gaaza,Dai Gaza,Dải Gaza,Faixa de Gaza,Fasia Gaza,Franja de Gaza,Franxa de Gaza,Fâșia Gaza,Galue Gaza,Galuë Gaza,Gasageirin,Gasastroendin,Gasastrook,Gasaströndin,Gaza,Gaza Sektoro,Gaza Strip,Gaza sektor,Gaza tsoon,Gazaejy Sektor,Gazai oevezet,Gazako zerrenda,Gazan kaista,Gazan sektor,Gazaremsan,Gazas josla,Gazastreek,Gazastreifen,Gazastriben,Gazastripa,Gazastripen,Gazastrook,Gazayi hatvac,Gazos Ruozas,Gazos Ruožas,Gazyn zurvas,Gazze Seridi,Gazze Şeridi,Genting Gaza,Gázai övezet,Ivica Gaza,Jalur Gaza,Konna Gasa,Lacinia Gazetica,Listra de Gaza,Llain Gaza,Lorida tis Gazas,Lurung Gaza,Marinka Gaza,Pasmo Gazy,Piraso ng Gaza,Pojas Gaza,Pojas Gaze,Pásmo Gazy,Qita` Ghazzah,Qiţā` Ghazzah,Qəzzə zolağı,Raon Ghasa,Raon Ghàsa,Sektar Gaza,Sektor Gaza,Sektor Gazi,Sirita Xezeye,Straice Gaza,Straih Ghaza,Strefa Gazy,Striscia di Gaza,Stráice Gaza,Ukanda wa Gaza,Zirin Gaza,chnwn ka sa,gaja bhukhanda,gaja jigu,gaja patti,gajha patti,gasa,gaza de qu,gaza pati,gaza patti,ghzh,jia sha de dai,kacakkarai,nwar ghzh,Şirîta Xezeyê,Λωρίδα της Γάζας,Газæйы Сектор,Газа сектор,Газын зурвас,Ивица Газа,Појас Газа,Појас Газе,Сектар Газа,Сектор Газа,Сектор Гази,Գազայի հատված,עזה פאס,רצועת עזה,غزه,غزہ کی پٹی,قطاع غزة,نوار غزه,गाज़ा पट्टी,गाजा पट्टी,गाझा पट्टी,গাজা ভূখণ্ড,ਗਾਜ਼ਾ ਪੱਟੀ,காசாக்கரை,ಗಾಜಾ ಪಟ್ಟಿ,ഗാസ,ฉนวนกาซา,ສະໜວນກາຊາ,ღაზის სექტორი,ដីជ្រោយហ្គាស្សា,ガザ地区,加沙地带,加沙地帶,가자 지구
Gaza Strip	31.41667	34.33333	281132	Gaza Strip	Banda de Gaza,Bande de Gaza,Bandenn Gaza,Ciifol Gaaza,Dai Gaza,Dải Gaza,Faixa de Gaza,Fasia Gaza,Franja de Gaza,Franxa de Gaza,Fâșia Gaza,Galue Gaza,Galuë Gaza,Gasageirin,Gasastroendin,Gasastrook,Gasaströndin,Gaza,Gaza Sektoro,Gaza Strip,Gaza sektor,Gaza tsoon,Gazaejy Sektor,Gazai oevezet,Gazako zerrenda,Gazan kaista,Gazan sektor,Gazaremsan,Gazas josla,Gazastreek,Gazastreifen,Gazastriben,Gazastripa,Gazastripen,Gazastrook,Gazayi hatvac,Gazos Ruozas,Gazos Ruožas,Gazyn zurvas,Gazze Seridi,Gazze Şeridi,Genting Gaza,Gázai övezet,Ivica Gaza,Jalur Gaza,Konna Gasa,Lacinia Gazetica,Listra de Gaza,Llain Gaza,Lorida tis Gazas,Lurung Gaza,Marinka Gaza,Pasmo Gazy,Piraso ng Gaza,Pojas Gaza,Pojas Gaze,Pásmo Gazy,Qita` Ghazzah,Qiţā` Ghazzah,Qəzzə zolağı,Raon Ghasa,Raon Ghàsa,Sektar Gaza,Sektor Gaza,Sektor Gazi,Sirita Xezeye,Straice Gaza,Straih Ghaza,Strefa Gazy,Striscia di Gaza,Stráice Gaza,Ukanda wa Gaza,Zirin Gaza,chnwn ka sa,gaja bhukhanda,gaja jigu,gaja patti,gajha patti,gasa,gaza de qu,gaza pati,gaza patti,ghzh,jia sha de dai,kacakkarai,nwar ghzh,Şirîta Xezeyê,Λωρίδα της Γάζας,Газæйы Сектор,Газа сектор,Газын зурвас,Ивица Газа,Појас Газа,Појас Газе,Сектар Газа,Сектор Газа,Сектор Гази,Գազայի հատված,עזה פאס,רצועת עזה,غزه,غزہ کی پٹی,قطاع غزة,نوار غزه,गाज़ा पट्टी,गाजा पट्टी,गाझा पट्टी,গাজা ভূখণ্ড,ਗਾਜ਼ਾ ਪੱਟੀ,காசாக்கரை,ಗಾಜಾ ಪಟ್ಟಿ,ഗാസ,ฉนวนกาซา,ສະໜວນກາຊາ,ღაზის სექტორი,ដីជ្រោយហ្គាស្សា,ガザ地区,加沙地带,加沙地帶,가자 지구
Gaza City	31.50161	34.46672	281133	Gaza City	Azzah,Dakbayan sa Gaza,GZA,Gaesa,Gasa,Gaz,Gaza,Gaza City,Gaza by,Gaza-urbo,Gazae,Gazze,Ghazah,Ghazza,Ghazzah,Ghazze,Ghazzi,Ghuzze,Gàsa,Gáza,Qəzza,Xeze,`Azza,`Azzā,gaja,gaja sahara,gaja siti,gajha,gaza,gaza sahira,ghzh,ghzt,jia sa,jia sha,jia sha cheng,kaca,Γάζα,Газa,Газæ,Газа,Газзә,Ղազա,עזה,غزة,غزه,غزہ,غەززە,ग़ज़ा,गाजा शहर,गाझा,গাজা সিটি,ਗ਼ਜ਼ਾ ਸ਼ਹਿਰ,காசா,ガザ,加沙,加沙城,加薩,가자
